HOLE_NAME,START_DATE,OIL,WATER,WATER_INJECTION,STEAM_INJECTION
PGKYPWDW-27H1,8/1/2014 0:00,0,0,424.9327081,0
PGKYPWDW-27H1,9/1/2014 0:00,0,0,410.5196187,0
PGKYPWDW-27H1,10/1/2014 0:00,0,0,237.7244493,0
PGKYPWDW-27H1,11/1/2014 0:00,0,0,526.1963096,0
PGKYPWDW-27H1,12/1/2014 0:00,0,0,571.7326921,0
PGKYPWDW-27H1,1/1/2015 0:00,0,0,508.3230724,0
PGKYPWDW-27H1,2/1/2015 0:00,0,0,608.0578893,0
PGKYPWDW-27H1,3/1/2015 0:00,0,0,733.8032873,0
PGKYPWDW-27H1,4/1/2015 0:00,0,0,685.971488,0
PGKYPWDW-27H1,5/1/2015 0:00,0,0,503.1535161,0
PGKYPWDW-27H1,6/1/2015 0:00,0,0,294.242066,0
PGKYPWDW-27H1,7/1/2015 0:00,0,0,325.5289841,0
PGKYPWDW-27H1,8/1/2015 0:00,0,0,321.944986,0
PGKYPWDW-27H1,9/1/2015 0:00,0,0,0,0
PGKYPWDW-27H1,5/1/2016 0:00,0,0,140.6209046,0
PGKYPWDW-27H1,6/1/2016 0:00,0,0,0,0
PGKYPWDW-27H1,7/1/2016 0:00,0,0,173.3268795,0
PGKYPWDW-27H1,8/1/2016 0:00,0,0,407.7519532,0
PGKYPWDW-27H1,9/1/2016 0:00,0,0,348.056477,0
PGKYPWDW-27H1,10/1/2016 0:00,0,0,225.2263605,0
PGKYPWDW-27H1,11/1/2016 0:00,0,0,68.46143209,0
PGKYPWDW-27H1,12/1/2016 0:00,0,0,339.6106034,0
PGKYPWDW-27H1,1/1/2017 0:00,0,0,317.8351484,0
PGKYPWDW-27H1,2/1/2017 0:00,0,0,361.788802,0
PGKYPWDW-27H1,3/1/2017 0:00,0,0,23.84920009,0
PGKYPWDW-27H1,4/1/2017 0:00,0,0,0,0
PGKYPWDW-27H1,5/1/2017 0:00,0,0,381.2422925,0
PGKYPWDW-27H1,6/1/2017 0:00,0,0,435.3720468,0
PGKYPWDW-27H1,7/1/2017 0:00,0,0,426.4613512,0
PGKYPWDW-27H1,8/1/2017 0:00,0,0,437.0722367,0
PGKYPWDW-27H1,9/1/2017 0:00,0,0,433.989723,0
PGKYPWDW-27H1,10/1/2017 0:00,0,0,454.1118121,0
PGKYPWDW-27H1,11/1/2017 0:00,0,0,543.5280049,0
PGKYPWDW-27H1,12/1/2017 0:00,0,0,421.6326723,0
PGKYPWDW-27H1,1/1/2018 0:00,0,0,433.0124533,0
PGKYPWDW-27H1,2/1/2018 0:00,0,0,394.4385456,0
PGKYPWDW-27H1,3/1/2018 0:00,0,0,419.7725826,0
PGKYPWDW-27H1,4/1/2018 0:00,0,0,394.8580289,0
PGKYPWDW-27H1,5/1/2018 0:00,0,0,421.2264157,0
PGKYPWDW-27H1,6/1/2018 0:00,0,0,456.4640025,0
PGKYPWDW-28H1,8/1/2013 0:00,0,0,171.6998257,0
PGKYPWDW-28H1,9/1/2013 0:00,0,0,166.3248659,0
PGKYPWDW-28H1,10/1/2013 0:00,0,0,264.1300879,0
PGKYPWDW-28H1,11/1/2013 0:00,0,0,258.6639556,0
PGKYPWDW-28H1,12/1/2013 0:00,0,0,140.2990068,0
PGKYPWDW-28H1,1/1/2014 0:00,0,0,0,0
PGKYPWDW-28H1,2/1/2014 0:00,0,0,0,0
PGKYPWDW-28H1,3/1/2014 0:00,0,0,23.68927681,0
PGKYPWDW-28H1,4/1/2014 0:00,0,0,0,0
PGKYPWDW-28H1,5/1/2014 0:00,0,0,0,0
PGKYPWDW-28H1,6/1/2014 0:00,0,0,20.89216353,0
PGKYPWDW-28H1,7/1/2014 0:00,0,0,0,0
PGKYPWDW-28H1,8/1/2014 0:00,0,0,0,0
PGKYPWDW-28H1,9/1/2014 0:00,0,0,3.565820175,0
PGKYPWDW-28H1,10/1/2014 0:00,0,0,3.152301883,0
PGKYPWDW-28H1,11/1/2014 0:00,0,0,0,0
PGKYPWDW-28H1,12/1/2014 0:00,0,0,11.94327309,0
PGKYPWDW-28H1,1/1/2015 0:00,0,0,35.44067967,0
PGKYPWDW-28H1,2/1/2015 0:00,0,0,0,0
PGKYPWDW-28H1,3/1/2015 0:00,0,0,8.122207517,0
PGKYPWDW-28H1,4/1/2015 0:00,0,0,20.22604048,0
PGKYPWDW-28H1,5/1/2015 0:00,0,0,0,0
PGKYPWDW-28H1,6/1/2015 0:00,0,0,26.88144752,0
PGKYPWDW-28H1,7/1/2015 0:00,0,0,61.14541903,0
PGKYPWDW-28H1,8/1/2015 0:00,0,0,139.4169885,0
PGKYPWDW-28H1,9/1/2015 0:00,0,0,0,0
PGKYPWDW-28H1,10/1/2015 0:00,0,0,0,0
PGKYPWDW-28H1,11/1/2015 0:00,0,0,66.1688682,0
PGKYPWDW-28H1,12/1/2015 0:00,0,0,0,0
PGKYPWDW-28H1,1/1/2016 0:00,0,0,37.42964159,0
PGKYPWDW-28H1,2/1/2016 0:00,0,0,0,0
PGKYPWDW-28H1,3/1/2016 0:00,0,0,15.49435759,0
PGKYPWDW-28H1,4/1/2016 0:00,0,0,12.70705239,0
PGKYPWDW-28H1,5/1/2016 0:00,0,0,73.90874989,0
PGKYPWDW-28H1,6/1/2016 0:00,0,0,403.5197034,0
PGKYPWDW-28H1,7/1/2016 0:00,0,0,259.3472664,0
PGKYPWDW-28H1,8/1/2016 0:00,0,0,44.63050423,0
PGKYPWDW-28H1,9/1/2016 0:00,0,0,0,0
PGKYPWDW-28H1,10/1/2016 0:00,0,0,123.0506092,0
PGKYPWDW-28H1,11/1/2016 0:00,0,0,182.7830778,0
PGKYPWDW-28H1,12/1/2016 0:00,0,0,303.6145422,0
PGKYPWDW-28H1,1/1/2017 0:00,0,0,11.09489925,0
PGKYPWDW-28H1,2/1/2017 0:00,0,0,272.666191,0
PGKYPWDW-28H1,3/1/2017 0:00,0,0,216.8461963,0
PGKYPWDW-28H1,4/1/2017 0:00,0,0,467.3110595,0
PGKYPWDW-28H1,5/1/2017 0:00,0,0,168.2759159,0
PGKYPWDW-28H1,6/1/2017 0:00,0,0,426.8735256,0
PGKYPWDW-28H1,7/1/2017 0:00,0,0,151.7295493,0
PGKYPWDW-28H1,8/1/2017 0:00,0,0,0,0
PGKYPWDW-28H1,9/1/2017 0:00,0,0,0,0
PGKYPWDW-28H1,10/1/2017 0:00,0,0,0,0
PGKYPWDW-28H1,11/1/2017 0:00,0,0,0.002216245,0
PGKYPWDW-28H1,12/1/2017 0:00,0,0,0,0
PGKYPWDW-28H1,1/1/2018 0:00,0,0,0,0
PGKYPWDW-28H1,2/1/2018 0:00,0,0,0,0
PGKYPWDW-28H1,3/1/2018 0:00,0,0,0,0
PGKYPWDW-28H1,4/1/2018 0:00,0,0,0,0
PGKYPWDW-28H1,5/1/2018 0:00,0,0,0,0
PGKYPWDW-28H1,6/1/2018 0:00,0,0,0,0
PGKYPWDW-2H1,11/1/2012 0:00,0,0,0,0
PGKYPWDW-2H1,8/1/2013 0:00,0,0,73.79317507,0
PGKYPWDW-2H1,9/1/2013 0:00,0,0,68.32746716,0
PGKYPWDW-2H1,10/1/2013 0:00,0,0,89.67634219,0
PGKYPWDW-2H1,11/1/2013 0:00,0,0,72.19839824,0
PGKYPWDW-2H1,12/1/2013 0:00,0,0,37.85148259,0
PGKYPWDW-2H1,1/1/2014 0:00,0,0,57.75470578,0
PGKYPWDW-2H1,2/1/2014 0:00,0,0,14.63353506,0
PGKYPWDW-2H1,3/1/2014 0:00,0,0,72.5475747,0
PGKYPWDW-2H1,4/1/2014 0:00,0,0,69.75062647,0
PGKYPWDW-2H1,5/1/2014 0:00,0,0,92.25161877,0
PGKYPWDW-2H1,6/1/2014 0:00,0,0,99.67226689,0
PGKYPWDW-2H1,7/1/2014 0:00,0,0,103.2696568,0
PGKYPWDW-2H1,8/1/2014 0:00,0,0,106.3192098,0
PGKYPWDW-2H1,9/1/2014 0:00,0,0,109.0926517,0
PGKYPWDW-2H1,10/1/2014 0:00,0,0,82.67090991,0
PGKYPWDW-2H1,11/1/2014 0:00,0,0,103.0492347,0
PGKYPWDW-2H1,12/1/2014 0:00,0,0,133.8688787,0
PGKYPWDW-2H1,1/1/2015 0:00,0,0,120.7868565,0
PGKYPWDW-2H1,2/1/2015 0:00,0,0,95.77754654,0
PGKYPWDW-2H1,3/1/2015 0:00,0,0,126.7222198,0
PGKYPWDW-2H1,4/1/2015 0:00,0,0,61.6348555,0
PGKYPWDW-2H1,5/1/2015 0:00,0,0,71.75979395,0
PGKYPWDW-2H1,6/1/2015 0:00,0,0,54.65938968,0
PGKYPWDW-2H1,7/1/2015 0:00,0,0,65.12765748,0
PGKYPWDW-2H1,8/1/2015 0:00,0,0,56.73671847,0
PGKYPWDW-2H1,9/1/2015 0:00,0,0,64.72644642,0
PGKYPWDW-2H1,10/1/2015 0:00,0,0,71.40663296,0
PGKYPWDW-2H1,11/1/2015 0:00,0,0,94.87133814,0
PGKYPWDW-2H1,12/1/2015 0:00,0,0,70.99528376,0
PGKYPWDW-2H1,1/1/2016 0:00,0,0,67.2274788,0
PGKYPWDW-2H1,2/1/2016 0:00,0,0,72.63565865,0
PGKYPWDW-2H1,3/1/2016 0:00,0,0,59.24376301,0
PGKYPWDW-2H1,4/1/2016 0:00,0,0,57.54937304,0
